brand,config,drivetrain,exterior_color,interior_color,mileage,model,price,transmission,year
GMC,1500 SLE,4x4/4-wheel drive,White,Black,54689,Sierra,,Automatic,2014
GMC,1500 SLE,4x4/4-wheel drive,Brown,Black,78323,Sierra,23495,Automatic,2014
GMC,1500 SLT,4x4/4-wheel drive,Blue,Black,31007,Sierra,29900,Automatic,2015
GMC,1500 SLT,4x4/4-wheel drive,Black,Black,11582,Sierra,36000,Automatic,2017
GMC,1500 Base,4x4/4-wheel drive,Black,Black,76951,Sierra,24998,Automatic,2016
GMC,1500 SLE,4x4/4-wheel drive,White,Black,30213,Sierra,28690,Automatic,2016
GMC,1500 SLE,4x4/4-wheel drive,Gray,Black,9131,Sierra,34985,Automatic,2018
GMC,1500 SLE,4x4/4-wheel drive,Black,Black,17078,Sierra,34988,Automatic,2017
GMC,1500 SLT,4x4/4-wheel drive,Black,Black,21527,Sierra,35125,Automatic,2016
GMC,1500 SLT,4x4/4-wheel drive,Red,Other,5922,Sierra,38294,Automatic,2018
GMC,1500 Denali,4x4/4-wheel drive,Gray,Brown,51347,Sierra,32999,Automatic,2015
GMC,1500 SLE,4x4/4-wheel drive,Silver,Black,82116,Sierra,15700,Automatic,2010
GMC,1500 SLE,4x4/4-wheel drive,Red,Gray,74401,Sierra,21500,Automatic,2012
GMC,1500 Base,RWD,White,Black,16255,Sierra,24624,Automatic,2018
GMC,1500 SLE,4x4/4-wheel drive,Red,Gray,26853,Sierra,32550,Automatic,2017
GMC,1500 SLE,4x4/4-wheel drive,Black,Black,77235,Sierra,23495,Automatic,2014
GMC,1500 Denali,4x4/4-wheel drive,Black,Beige,1622,Sierra,,Automatic,2019
GMC,1500 SLT,4x4/4-wheel drive,White,Brown,47123,Sierra,34500,Automatic,2015
GMC,1500 SLE,4x4/4-wheel drive,Gray,Black,106528,Sierra,15923,Automatic,2011
GMC,1500 SLT,4x4/4-wheel drive,Black,Black,36468,Sierra,35921,Automatic,2018
GMC,1500 SLT,RWD,Silver,Black,41814,Sierra,,Automatic,2017
GMC,1500 SLE,4x4/4-wheel drive,Silver,Other,113392,Sierra,13755,Automatic,2010
GMC,1500 SLE,4x4/4-wheel drive,Brown,Black,27115,Sierra,30820,Automatic,2015
GMC,1500 Denali,RWD,Black,Black,15786,Sierra,39300,Automatic,2017
GMC,1500 SL,RWD,Gray,Gray,98489,Sierra,,Automatic,2012
GMC,1500 SLT,4x4/4-wheel drive,White,Black,44916,Sierra,36592,Automatic,2016
GMC,1500 SLT,4x4/4-wheel drive,White,Gray,11670,Sierra,43991,Automatic,2018
GMC,1500 SLT,4x4/4-wheel drive,Black,Black,9850,Sierra,39000,Automatic,2018
GMC,1500 SLT,4x4/4-wheel drive,White,Beige,144924,Sierra,22495,Automatic,2016
GMC,1500 Base,RWD,White,Black,13505,Sierra,,Automatic,2018
GMC,1500 SLE,4x4/4-wheel drive,Red,Black,86244,Sierra,24999,Automatic,2015
GMC,1500 AT4,4x4/4-wheel drive,Red,Black,1677,Sierra,52988,Automatic,2019
GMC,1500 SLT,4x4/4-wheel drive,Green,Beige,45768,Sierra,34000,Automatic,2015
GMC,1500 SLE,4x4/4-wheel drive,Gray,Black,33841,Sierra,28400,Automatic,2015
GMC,1500 SLT,4x4/4-wheel drive,Blue,Black,39765,Sierra,35999,Automatic,2018
GMC,1500 SLT,4x4/4-wheel drive,Gray,Black,56639,Sierra,30127,Automatic,2014
GMC,1500 SLE,4x4/4-wheel drive,Gray,Black,36010,Sierra,29824,Automatic,2016
GMC,1500 SLT,4x4/4-wheel drive,Red,Black,9035,Sierra,47948,Automatic,2019
GMC,1500 Denali,4x4/4-wheel drive,White,Beige,91003,Sierra,33500,Automatic,2016
GMC,1500 SLE,4x4/4-wheel drive,Gray,Black,5810,Sierra,33399,Automatic,2017
GMC,1500 SLE,4x4/4-wheel drive,White,Black,35010,Sierra,30650,Automatic,2016
GMC,1500 Denali,4x4/4-wheel drive,White,Black,30914,Sierra,38973,Automatic,2016
GMC,1500 Base,4x4/4-wheel drive,Gray,Black,14254,Sierra,29995,Automatic,2017
GMC,1500 Denali,4x4/4-wheel drive,White,Black,31995,Sierra,39995,Automatic,2017
GMC,1500 SLT,4x4/4-wheel drive,Red,Black,45975,Sierra,35987,Automatic,2017
GMC,1500 SLE,RWD,White,Black,28524,Sierra,21590,Automatic,2011
GMC,1500 Denali,4x4/4-wheel drive,Gray,Brown,22693,Sierra,,Automatic,2018
GMC,1500 SLT,4x4/4-wheel drive,White,Black,39059,Sierra,30994,Automatic,2016
GMC,1500 Denali,4x4/4-wheel drive,Black,Black,10964,Sierra,44277,Automatic,2018
GMC,1500 SLT,4x4/4-wheel drive,White,Black,30500,Sierra,43534,Automatic,2018
GMC,1500 SLT,4x4/4-wheel drive,Black,Black,48090,Sierra,,Automatic,2016
