brand,config,drivetrain,exterior_color,interior_color,mileage,model,price,transmission,year
Jeep,Sport,4x4/4-wheel drive,Black,Black,22280,Wrangler,25999,Automatic,2016
Jeep,Sahara,4x4/4-wheel drive,White,Black,31124,Wrangler,,Automatic,2016
Jeep,Sahara,4x4/4-wheel drive,Black,Black,35523,Wrangler,27850,Automatic,2017
Jeep,Sport,4x4/4-wheel drive,Black,Gray,64597,Wrangler,,Manual,2010
Jeep,Rubicon,4x4/4-wheel drive,Red,Black,46405,Wrangler,22995,Manual,2012
Jeep,Sahara,4x4/4-wheel drive,Black,Black,33684,Wrangler,24999,Automatic,2015
Jeep,Sahara,4x4/4-wheel drive,Silver,Black,92416,Wrangler,17950,Automatic,2012
Jeep,Sport,4x4/4-wheel drive,Gray,Black,34762,Wrangler,24995,Automatic,2017
Jeep,Sahara,4x4/4-wheel drive,Black,Black,45581,Wrangler,20495,Manual,2012
Jeep,Sahara,4x4/4-wheel drive,Silver,Black,72992,Wrangler,16395,Automatic,2008
Jeep,Sport,4x4/4-wheel drive,Silver,Black,49032,Wrangler,21898,Automatic,2015
Jeep,Sahara,4x4/4-wheel drive,Black,Black,36327,Wrangler,27420,Automatic,2015
Jeep,Sport,4x4/4-wheel drive,White,Black,117860,Wrangler,14577,Automatic,2011
Jeep,Sport,4x4/4-wheel drive,Silver,Black,25782,Wrangler,21988,Manual,2016
Jeep,75th Anniversary,4x4/4-wheel drive,Green,Black,81248,Wrangler,27990,Automatic,2016
Jeep,Rubicon,4x4/4-wheel drive,Red,Black,65675,Wrangler,23991,Manual,2012
Jeep,Sport,4x4/4-wheel drive,Silver,Black,14485,Wrangler,29500,Automatic,2019
Jeep,Sahara,4x4/4-wheel drive,Red,Beige,154432,Wrangler,10495,Manual,2008
Jeep,Sahara,4x4/4-wheel drive,Black,Black,24957,Wrangler,27441,Automatic,2016
Jeep,Unlimited Sahara,4x4/4-wheel drive,Blue,Gray,91238,Wrangler,16447,Automatic,2007
Jeep,Sport,4x4/4-wheel drive,Black,Black,31674,Wrangler,24998,Manual,2015
Jeep,Sport,4x4/4-wheel drive,Red,Black,27110,Wrangler,24920,Automatic,2016
Jeep,Sahara,4x4/4-wheel drive,Black,Black,36327,Wrangler,27420,Automatic,2015
Jeep,Sport,4x4/4-wheel drive,White,Black,13770,Wrangler,30995,Automatic,2019
Jeep,Sport,4x4/4-wheel drive,Gray,Black,74456,Wrangler,17999,Manual,2014
Jeep,Rubicon,4x4/4-wheel drive,Black,Black,13647,Wrangler,42900,Automatic,2018
Jeep,X,4x4/4-wheel drive,Black,Gray,76687,Wrangler,16999,Manual,2008
Jeep,Sport,4x4/4-wheel drive,Yellow,Black,8101,Wrangler,30699,Other / Unknown,2019
Jeep,Sport,4x4/4-wheel drive,Silver,Black,11345,Wrangler,29955,Automatic,2019
Jeep,Sport,4x4/4-wheel drive,Beige,Black,37009,Wrangler,18970,Manual,2013
Jeep,Call of Duty MW3,4x4/4-wheel drive,Black,Other,39560,Wrangler,28950,Automatic,2012
Jeep,Unlimited,4x4/4-wheel drive,Blue,Gray,122667,Wrangler,10553,Automatic,2005
Jeep,Sport,4x4/4-wheel drive,White,Black,13529,Wrangler,29472,Automatic,2017
Jeep,Sport,4x4/4-wheel drive,Purple,Other,9566,Wrangler,27500,Other / Unknown,2017
Jeep,Sport,4x4/4-wheel drive,Red,Black,40378,Wrangler,,Automatic,2014
Jeep,Sahara,4x4/4-wheel drive,Silver,Black,34774,Wrangler,27900,Automatic,2016
Jeep,Sport,4x4/4-wheel drive,Black,Black,70292,Wrangler,21995,Automatic,2015
Jeep,SE,4x4/4-wheel drive,Yellow,Black,91803,Wrangler,11900,Manual,2005
Jeep,Unlimited X,4x4/4-wheel drive,Silver,Gray,179518,Wrangler,13200,Automatic,2008
Jeep,Sport,4x4/4-wheel drive,Silver,Black,62127,Wrangler,21499,Manual,2014
Jeep,Unlimited X,4x4/4-wheel drive,Red,Gray,136146,Wrangler,16446,Automatic,2008
Jeep,Unlimited X,4x4/4-wheel drive,Black,Gray,115699,Wrangler,14399,Manual,2008
Jeep,Sport,4x4/4-wheel drive,White,Black,12228,Wrangler,32000,Automatic,2016
Jeep,Sport,4x4/4-wheel drive,Silver,Gray,86439,Wrangler,16599,Manual,2010
Jeep,Sport,4x4/4-wheel drive,Black,Black,10792,Wrangler,,Automatic,2019
Jeep,Sport,4x4/4-wheel drive,Orange,Black,31975,Wrangler,23400,Manual,2012
Jeep,Sport,4x4/4-wheel drive,Silver,Black,71556,Wrangler,21995,Automatic,2015
Jeep,X,4x4/4-wheel drive,White,Beige,61829,Wrangler,15795,Manual,2004
Jeep,Sport,4x4/4-wheel drive,Red,Black,27801,Wrangler,26734,Automatic,2017
Jeep,Sahara,4x4/4-wheel drive,Black,Black,20549,Wrangler,29488,Automatic,2015
Jeep,Sport,4x4/4-wheel drive,Blue,Black,60759,Wrangler,20981,Manual,2015
