brand,config,drivetrain,exterior_color,interior_color,mileage,model,price,transmission,year
Lincoln, Base,AWD,Other,Black,46828,MKS,15995,Automatic,2013
Lincoln, Base,AWD,Brown,Black,143395,MKS,7950,Automatic,2009
Lincoln, Base,AWD,Beige,Other,83120,MKS,9710,Automatic,2009
Lincoln, Base,AWD,Black,Beige,96814,MKS,9499,Automatic,2009
Lincoln, Base,AWD,Brown,Black,57878,MKS,11900,Automatic,2013
Lincoln, Base,AWD,Brown,Black,80298,MKS,15995,Automatic,2015
Lincoln, Base,AWD,Other,Beige,37873,MKS,18447,Automatic,2015
Lincoln, Base,FWD,Beige,Beige,28572,MKS,21250,Automatic,2016
Lincoln,,FWD,Silver,Black,80975,MKS,9950,Automatic,2009
Lincoln, Base,FWD,Brown,Beige,55039,MKS,18500,Automatic,2015
Lincoln, Base,AWD,Purple,Other,138142,MKS,8500,Automatic,2011
Lincoln, EcoBoost,AWD,White,Other,74489,MKS,,Automatic,2015
Lincoln, Base,FWD,Silver,Beige,40822,MKS,,Automatic,2013
Lincoln, Base,AWD,Black,Black,85538,MKS,13963,Automatic,2013
Lincoln, Base,AWD,White,Black,42923,MKS,21538,Automanual,2015
Lincoln, EcoBoost,AWD,Brown,Black,72865,MKS,13295,Automatic,2013
Lincoln,,AWD,Red,Gray,104670,MKS,9990,Automatic,2009
Lincoln, Base,AWD,Black,Other,138543,MKS,8500,Automanual,2009
Lincoln, Base,AWD,Black,Black,150709,MKS,7495,Automatic,2009
Lincoln, Base,AWD,White,Beige,50986,MKS,23405,Automanual,2016
Lincoln, Base,FWD,Silver,Black,94104,MKS,10687,Automatic,2011
Lincoln, Base,AWD,Black,Beige,134738,MKS,8988,Automatic,2010
Lincoln, Base,AWD,Gray,Other,51459,MKS,14900,Automatic,2013
Lincoln, Base,FWD,White,Beige,67052,MKS,15500,Automatic,2013
Lincoln, EcoBoost,AWD,White,Other,68194,MKS,,Automatic,2013
Lincoln, Base,FWD,White,Black,72363,MKS,15965,Automatic,2015
Lincoln, EcoBoost,AWD,Silver,Black,40942,MKS,17900,Automatic,2013
Lincoln,,FWD,Black,Black,49605,MKS,18995,Automatic,2015
Lincoln, EcoBoost,AWD,White,Beige,55460,MKS,20988,Automatic,2015
Lincoln, Base,FWD,Silver,Other,28075,MKS,18981,Automatic,2014
Lincoln, Base,FWD,Beige,Beige,135060,MKS,6495,Automatic,2009
Lincoln, Base,FWD,Other,Black,71636,MKS,12999,Automatic,2013
Lincoln, EcoBoost,AWD,Brown,Other,61071,MKS,20795,Automatic,2015
Lincoln, Base,AWD,Black,Black,44258,MKS,11999,Automatic,2013
Lincoln, Base,AWD,Black,Black,114303,MKS,10995,Automatic,2014
Lincoln, Base,AWD,White,Black,27319,MKS,19998,Automatic,2015
Lincoln, Base,FWD,Red,Black,110969,MKS,9995,Automatic,2013
Lincoln, Base,AWD,Black,Beige,32678,MKS,22919,Automatic,2015
Lincoln, EcoBoost,AWD,White,Black,57403,MKS,18987,Automatic,2014
Lincoln, Base,FWD,Black,Black,97197,MKS,8950,Automatic,2009
Lincoln, EcoBoost,AWD,Silver,Black,108020,MKS,11995,Automatic,2013
Lincoln, EcoBoost,AWD,Black,Black,76635,MKS,16458,Automatic,2014
Lincoln, Base,FWD,Black,Beige,45280,MKS,16800,Automatic,2013
Lincoln, Base,AWD,Red,Beige,41936,MKS,15495,Automatic,2013
Lincoln, Base,FWD,Brown,Beige,55039,MKS,18500,Automatic,2015
