brand,config,drivetrain,exterior_color,interior_color,mileage,model,price,transmission,year
Toyota,Trail,4x4/4-wheel drive,Silver,Black,24587,4Runner,,Automatic,2016
Toyota,SR5,4x4/4-wheel drive,Blue,Other,17744,4Runner,31398,Automatic,2018
Toyota,TRD Pro,4x4/4-wheel drive,Gray,Black,25510,4Runner,40078,Automatic,2016
Toyota,SR5 Premium,4x4/4-wheel drive,Black,Black,64445,4Runner,27350,Automatic,2014
Toyota,Sport,4x4/4-wheel drive,Gray,Black,15489,4Runner,35266,Automatic,2017
Toyota,Limited,4x4/4-wheel drive,Silver,Black,27602,4Runner,34525,Automatic,2016
Toyota,SR5,4x4/4-wheel drive,Silver,Black,39902,4Runner,29750,Automatic,2016
Toyota,Limited,4x4/4-wheel drive,White,Black,48438,4Runner,29495,Automatic,2014
Toyota,Limited,4x4/4-wheel drive,Black,Black,33436,4Runner,32533,Automatic,2015
Toyota,TRD Off Road Premium,4x4/4-wheel drive,White,Black,27298,4Runner,36200,Automatic,2017
Toyota,SR5,4x4/4-wheel drive,Blue,Gray,103067,4Runner,16991,Automatic,2009
Toyota,SR5 Premium,4x4/4-wheel drive,Silver,Black,28576,4Runner,31845,Automatic,2016
Toyota,SR5,RWD,White,Gray,49627,4Runner,26730,Automatic,2016
Toyota,TRD Pro,4x4/4-wheel drive,White,Black,17452,4Runner,29999,Automatic,2016
Toyota,SR5,4x4/4-wheel drive,White,Other,37428,4Runner,32900,Automatic,2018
Toyota,TRD Off Road,4x4/4-wheel drive,Silver,Black,26572,4Runner,35980,Automatic,2018
Toyota,SR5 Sport,4x4/4-wheel drive,Black,Beige,7823,4Runner,33700,Automatic,2016
Toyota,SR5,4x4/4-wheel drive,Black,Black,80985,4Runner,25999,Automatic,2016
Toyota,Limited,4x4/4-wheel drive,Black,Black,60891,4Runner,33700,Automatic,2016
Toyota,Limited,4x4/4-wheel drive,Black,Beige,158038,4Runner,16615,Automatic,2010
