brand,config,drivetrain,exterior_color,interior_color,mileage,model,price,transmission,year
Toyata,TRD Off Road,4x4/4-wheel drive,Beige,Black,53703,Tacoma,29550,Automatic,2016
Toyata,TRD Sport,4x4/4-wheel drive,Blue,Gray,30018,Tacoma,,Automatic,2016
Toyata,SR5,4x4/4-wheel drive,Black,Gray,10053,Tacoma,29991,Automatic,2019
Toyata,TRD Pro,4x4/4-wheel drive,Blue,Black,5664,Tacoma,44500,Automatic,2018
Toyata,5 FT,4x4/4-wheel drive,Silver,Gray,35258,Tacoma,,Automatic,2015
Toyata,SR5,RWD,Silver,Black,7155,Tacoma,28500,Automatic,2016
Toyata,5 FT,4x4/4-wheel drive,Silver,Gray,35258,Tacoma,,Automatic,2015
Toyata,,4x4/4-wheel drive,Beige,Other,24455,Tacoma,26804,Automatic,2015
Toyata,Access Cab,4x4/4-wheel drive,Green,Gray,91799,Tacoma,14866,Manual,2009
Toyata,Double Cab,4x4/4-wheel drive,Blue,Gray,95956,Tacoma,20790,Automatic,2011
Toyata,SR5,RWD,Silver,Gray,7919,Tacoma,29800,Automatic,2018
Toyata,Base,4x4/4-wheel drive,Black,Gray,65670,Tacoma,23994,Automatic,2014
Toyata,Base,4x4/4-wheel drive,Gray,Gray,67466,Tacoma,19999,Automatic,2015
Toyata,SR5,4x4/4-wheel drive,Black,Gray,30454,Tacoma,30000,Automatic,2016
Toyata,Access Cab,4x4/4-wheel drive,Gray,Gray,43939,Tacoma,,Automatic,2011
Toyata,SR5,RWD,Silver,Black,8787,Tacoma,28999,Automatic,2018
Toyata,SR5,4x4/4-wheel drive,Black,Gray,9550,Tacoma,30897,Automatic,2019
Toyata,TRD Sport,4x4/4-wheel drive,Beige,Black,39759,Tacoma,29998,Manual,2017
Toyata,Double Cab,4x4/4-wheel drive,Silver,Gray,204522,Tacoma,14988,Manual,2007
Toyata,SR,4x4/4-wheel drive,White,Gray,7321,Tacoma,,Automatic,2019
Toyata,TRD Sport,4x4/4-wheel drive,Red,Gray,36552,Tacoma,29959,Automatic,2017
Toyata,TRD Off Road,4x4/4-wheel drive,Silver,Gray,5054,Tacoma,33799,Automatic,2018
Toyata,TRD Sport,RWD,Gray,Gray,21585,Tacoma,28400,Automatic,2016
Toyata,TRD Pro,4x4/4-wheel drive,White,Black,7390,Tacoma,45900,Automatic,2018
Toyata,Limited,4x4/4-wheel drive,Black,Other,1656,Tacoma,37000,Automatic,2019
Toyata,SR5,RWD,Gray,Gray,37181,Tacoma,24999,Automatic,2016
Toyata,SR5,RWD,Silver,Gray,7919,Tacoma,29800,Automatic,2018
Toyata,Base,4x2/2-wheel drive,Red,Beige,16342,Tacoma,22999,Automatic,2015
Toyata,SR,4x4/4-wheel drive,Silver,Gray,41719,Tacoma,26990,Automatic,2017
Toyata,SR5,RWD,White,Black,28379,Tacoma,26130,Automatic,2017
Toyata,Limited,4x4/4-wheel drive,White,Other,22805,Tacoma,33180,Automatic,2017
Toyata,SR5,RWD,Black,Gray,10112,Tacoma,29930,Automatic,2018
Toyata,SR,RWD,White,Gray,3834,Tacoma,25400,Automatic,2018
Toyata,TRD Off Road,4x4/4-wheel drive,Red,Black,44797,Tacoma,35950,Automatic,2018
Toyata,SR5,RWD,White,Black,28379,Tacoma,26130,Automatic,2017
Toyata,Base,4x4/4-wheel drive,Gray,Gray,42120,Tacoma,28912,Automatic,2015
Toyata,TRD Off Road,RWD,Black,Black,76291,Tacoma,25774,Automatic,2017
Toyata,SR,RWD,White,Gray,5873,Tacoma,22990,Automatic,2019
Toyata,SR,RWD,Black,Gray,3068,Tacoma,27200,Automatic,2018
Toyata,Base,4x4/4-wheel drive,Gray,Gray,80330,Tacoma,24682,Automatic,2015
Toyata,,RWD,Silver,Gray,105526,Tacoma,13981,Automatic,2015
Toyata,SR5,RWD,White,Gray,26282,Tacoma,26621,Automatic,2016
Toyata,Base,RWD,Red,Gray,33860,Tacoma,14420,Automatic,2013
Toyata,SR5,RWD,Black,Black,23655,Tacoma,27840,Automatic,2017
Toyata,SR5,RWD,White,Black,28379,Tacoma,26130,Automatic,2017
Toyata,SR5,RWD,Blue,Gray,28459,Tacoma,29888,Automatic,2017
Toyata,Base,4x4/4-wheel drive,Gray,Gray,78125,Tacoma,24788,Automatic,2013
Toyata,SR,RWD,Silver,Gray,56714,Tacoma,18842,Automatic,2016
Toyata,TRD Off Road,4x4/4-wheel drive,Gray,Other,34967,Tacoma,35990,Automatic,2018
Toyata,Base,4x4/4-wheel drive,Gray,Gray,53874,Tacoma,23080,Automatic,2013
Toyata,PreRunner,RWD,White,Other,68032,Tacoma,25995,Automatic,2015
Toyata,TRD Sport,RWD,Black,Gray,39239,Tacoma,29341,Automatic,2016
Toyata,TRD Sport,4x4/4-wheel drive,Blue,Gray,19910,Tacoma,31995,Automatic,2017
Toyata,SR,RWD,Red,Other,22039,Tacoma,23887,Automatic,2018
Toyata,Base,RWD,Silver,Other,25012,Tacoma,19588,Automatic,2015
Toyata,SR,RWD,Other,Other,33901,Tacoma,20999,Automatic,2018
Toyata,SR,RWD,White,Gray,33834,Tacoma,23930,Automatic,2017
Toyata,SR5,4x4/4-wheel drive,White,Other,31792,Tacoma,31730,Automatic,2018
Toyata,TRD Pro,4x4/4-wheel drive,Blue,Black,5664,Tacoma,44500,Automatic,2018
Toyata,SR,RWD,White,Gray,3834,Tacoma,25400,Automatic,2018
Toyata,TRD Off Road,4x4/4-wheel drive,Black,Black,51979,Tacoma,29988,Automatic,2017
Toyata,SR,RWD,Black,Gray,3068,Tacoma,27200,Automatic,2018
Toyata,PreRunner,RWD,White,Other,165181,Tacoma,10900,Automatic,2007
Toyata,SR5,4x4/4-wheel drive,Gray,Gray,30654,Tacoma,30495,Automatic,2017
Toyata,Limited,RWD,Black,Brown,5136,Tacoma,34998,Automatic,2018
Toyata,SR5,RWD,Red,Other,19556,Tacoma,,Automatic,2017
Toyata,Limited,RWD,Gray,Other,40245,Tacoma,26977,Automatic,2016
Toyata,SR5,4x4/4-wheel drive,Blue,Gray,39854,Tacoma,26424,Automatic,2017
Toyata,TRD Sport,RWD,Gray,Gray,45621,Tacoma,27966,Automatic,2016
Toyata,Base,4x4/4-wheel drive,Gray,Gray,148260,Tacoma,18772,Manual,2012
Toyata,Base,4x4/4-wheel drive,White,Gray,49700,Tacoma,27500,Other / Unknown,2015
Toyata,TRD Sport,4x4/4-wheel drive,Red,Gray,3337,Tacoma,35890,Automatic,2018
Toyata,SR5,RWD,White,Gray,2941,Tacoma,31800,Automatic,2019
Toyata,TRD Sport,RWD,Silver,Gray,26262,Tacoma,28750,Automatic,2016
Toyata,SR5,4x4/4-wheel drive,Red,Gray,51189,Tacoma,25988,Automatic,2017
Toyata,Base,4x4/4-wheel drive,Silver,Beige,67183,Tacoma,26198,Automatic,2015
Toyata,SR5,4x4/4-wheel drive,Silver,Gray,8289,Tacoma,32989,Automatic,2018
Toyata,Limited,RWD,White,Other,33818,Tacoma,31488,Automatic,2016
Toyata,4X4,4x4/4-wheel drive,Black,Other,5697,Tacoma,33649,Automatic,2019
Toyata,,4x4/4-wheel drive,Gray,Black,45410,Tacoma,35995,Automatic,2017
Toyata,Limited,4x4/4-wheel drive,Gray,Other,13076,Tacoma,35895,Automatic,2017
Toyata,Base,4x4/4-wheel drive,Red,Other,73905,Tacoma,,Automatic,2015
Toyata,TRD Off Road,4x4/4-wheel drive,White,Gray,30501,Tacoma,,Automatic,2017
Toyata,TRD Sport,4x4/4-wheel drive,Red,Gray,1296,Tacoma,35998,Automatic,2019
Toyata,TRD Off Road,4x4/4-wheel drive,Black,Black,15323,Tacoma,36999,Automatic,2018
Toyata,TRD Pro,4x4/4-wheel drive,Blue,Black,5664,Tacoma,44500,Automatic,2018
Toyata,TRD Sport,4x4/4-wheel drive,Black,Black,34841,Tacoma,,Automatic,2017
Toyata,TRD Off Road,4x4/4-wheel drive,White,Gray,16165,Tacoma,32995,Automatic,2018
Toyata,PreRunner,RWD,Silver,Gray,89775,Tacoma,16995,Automatic,2012
Toyata,Access Cab,RWD,White,Gray,78950,Tacoma,17999,Manual,2011
Toyata,SR,RWD,Gray,Other,35,Tacoma,26991,Automatic,2019
Toyata,Access Cab,4x2/2-wheel drive,Gray,Gray,87850,Tacoma,16488,Automatic,2010
Toyata,TRD Sport,RWD,Gray,Gray,14769,Tacoma,30999,Automatic,2016
Toyata,SR5,RWD,Silver,Gray,43240,Tacoma,27188,Automatic,2017
Toyata,TRD Off Road,4x4/4-wheel drive,Gray,Other,21757,Tacoma,35995,Automatic,2018
Toyata,SR5,RWD,White,Gray,240,Tacoma,28988,Automatic,2019
Toyata,Base,4x4/4-wheel drive,Blue,Other,23617,Tacoma,28591,Automatic,2013
