brand,config,drivetrain,exterior_color,interior_color,mileage,model,price,transmission,year
Toyota,SR5,4x4/4-wheel drive,Black,Black,16093,Tundra,,Automatic,2016
Toyota,SR5,4x2/2-wheel drive,Black,Gray,176606,Tundra,10995,Automatic,2007
Toyota,SR5,4x4/4-wheel drive,Gray,Black,38637,Tundra,31799,Automatic,2016
Toyota,SR5,RWD,Gray,Black,26184,Tundra,,Automatic,2017
Toyota,Limited,4x4/4-wheel drive,Black,Other,41631,Tundra,30998,Automatic,2014
Toyota,Limited,4x4/4-wheel drive,Blue,Gray,11716,Tundra,43874,Automatic,2018
Toyota,SR5,4x4/4-wheel drive,Black,Black,26935,Tundra,37474,Automatic,2018
Toyota,SR5,4x4/4-wheel drive,Black,Gray,19870,Tundra,30500,Automatic,2017
Toyota,Grade,4x4/4-wheel drive,Silver,Gray,91492,Tundra,20303,Automatic,2012
Toyota,Limited,4x4/4-wheel drive,Gray,Other,33853,Tundra,30994,Automatic,2015
Toyota,Platinum,4x4/4-wheel drive,Gray,Other,8386,Tundra,47413,Automatic,2019
Toyota,SR5,4x4/4-wheel drive,Black,Other,5734,Tundra,35227,Automatic,2017
Toyota,SR5,4x4/4-wheel drive,Black,Other,29475,Tundra,31000,Automatic,2017
Toyota,SR5,4x4/4-wheel drive,Gray,Gray,36083,Tundra,34951,Automatic,2017
Toyota,1794,4x4/4-wheel drive,Blue,Brown,39263,Tundra,37527,Automatic,2015
Toyota,SR5,4x4/4-wheel drive,White,Gray,5773,Tundra,35500,Automatic,2019
Toyota,Limited,RWD,Silver,Gray,123185,Tundra,21289,Automatic,2010
Toyota,SR5,4x4/4-wheel drive,Gray,Gray,50067,Tundra,29500,Automatic,2015
Toyota,SR5,4x4/4-wheel drive,Black,Gray,15302,Tundra,34995,Automatic,2016
Toyota,SR5,4x4/4-wheel drive,Black,Brown,116998,Tundra,24995,Automatic,2015
Toyota,Limited,4x4/4-wheel drive,Red,Black,73961,Tundra,29000,Automatic,2014
Toyota,SR5,4x4/4-wheel drive,White,Brown,13524,Tundra,38209,Automatic,2018
Toyota,Limited,4x4/4-wheel drive,Gray,Black,23891,Tundra,39991,Automatic,2018
Toyota,Limited,4x4/4-wheel drive,Silver,Black,80372,Tundra,,Automatic,2010
Toyota,Grade,RWD,White,Other,76035,Tundra,,Automatic,2011
Toyota,Grade,4x4/4-wheel drive,Black,Black,104800,Tundra,19500,Automatic,2010
Toyota,Limited,4x4/4-wheel drive,White,Black,93305,Tundra,25522,Automatic,2012
Toyota,SR5,4x4/4-wheel drive,Gray,Gray,18261,Tundra,38780,Automatic,2016
Toyota,SR5,4x4/4-wheel drive,Red,Black,38326,Tundra,32491,Automatic,2017
Toyota,Platinum,4x4/4-wheel drive,White,Black,66388,Tundra,34800,Automatic,2014
Toyota,SR5,4x4/4-wheel drive,Red,Gray,27779,Tundra,31200,Automatic,2018
Toyota,SR5,4x4/4-wheel drive,Black,Gray,38001,Tundra,33990,Automatic,2017
Toyota,Limited,4x4/4-wheel drive,Gray,Black,43278,Tundra,35300,Automatic,2016
Toyota,SR5,4x4/4-wheel drive,Black,Other,21010,Tundra,35444,Automatic,2016
Toyota,Platinum,4x4/4-wheel drive,Gray,Black,73629,Tundra,35629,Automatic,2015
Toyota,TRD Pro,4x4/4-wheel drive,White,Black,31087,Tundra,43798,Automatic,2017
